S3 Resource Name,Month,S3 Resource Price
hk-analytics ($),01/01/2024,304.04
hk-analytics ($),01/02/2024,339.27
hk-analytics ($),01/03/2024,374.77
hk-analytics ($),01/04/2024,410.87
hk-analytics ($),01/05/2024,447.94
hk-analytics ($),01/06/2024,485.9
hk-analytics ($),01/07/2024,524.76
hk-analytics ($),01/08/2024,571.85
hk-analytics ($),01/09/2024,224.64
hkdb ($),01/01/2024,151.89
hkdb ($),01/02/2024,153.24
hkdb ($),01/03/2024,156.11
hkdb ($),01/04/2024,158.44
hkdb ($),01/05/2024,160.95
hkdb ($),01/06/2024,160.43
hkdb ($),01/07/2024,160.64
hkdb ($),01/08/2024,159.35
hkdb ($),01/09/2024,158.96
mbprod-analytics ($),01/01/2024,144.29
mbprod-analytics ($),01/02/2024,147.66
mbprod-analytics ($),01/03/2024,154.12
mbprod-analytics ($),01/04/2024,149.25
mbprod-analytics ($),01/05/2024,150.16
mbprod-analytics ($),01/06/2024,153.69
mbprod-analytics ($),01/07/2024,145.42
mbprod-analytics ($),01/08/2024,141.48
mbprod-analytics ($),01/09/2024,145.13
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/01/2024,122.23
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/02/2024,119.4
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/03/2024,117.31
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/04/2024,114.1
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/05/2024,112.76
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/06/2024,111.52
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/07/2024,110.1
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/08/2024,107.26
mobile-analytics-03-01-2018-b78cbc45685545f28c0207562b147b3c ($),01/09/2024,104.84
icrmimages ($),01/01/2024,84.57
icrmimages ($),01/02/2024,85.62
icrmimages ($),01/03/2024,86.81
icrmimages ($),01/04/2024,88
icrmimages ($),01/05/2024,89.15
icrmimages ($),01/06/2024,90.25
icrmimages ($),01/07/2024,91.35
icrmimages ($),01/08/2024,92.47
icrmimages ($),01/09/2024,93.63
regional-fulfillment-data ($),01/01/2024,70.07
regional-fulfillment-data ($),01/02/2024,70.07
regional-fulfillment-data ($),01/03/2024,70.07
regional-fulfillment-data ($),01/04/2024,70.07
regional-fulfillment-data ($),01/05/2024,70.07
regional-fulfillment-data ($),01/06/2024,70.07
regional-fulfillment-data ($),01/07/2024,70.07
regional-fulfillment-data ($),01/08/2024,70.07
regional-fulfillment-data ($),01/09/2024,70.07
cloudflare-zero-trust-v1 ($),01/01/2024,22.84
cloudflare-zero-trust-v1 ($),01/02/2024,20.06
cloudflare-zero-trust-v1 ($),01/03/2024,19.82
cloudflare-zero-trust-v1 ($),01/04/2024,24.55
cloudflare-zero-trust-v1 ($),01/05/2024,30.15
cloudflare-zero-trust-v1 ($),01/06/2024,35.77
cloudflare-zero-trust-v1 ($),01/07/2024,41.29
cloudflare-zero-trust-v1 ($),01/08/2024,46.52
cloudflare-zero-trust-v1 ($),01/09/2024,51.78
cloudtrail-logsv1 ($),01/01/2024,23.48
cloudtrail-logsv1 ($),01/02/2024,24.8
cloudtrail-logsv1 ($),01/03/2024,26.4
cloudtrail-logsv1 ($),01/04/2024,27.98
cloudtrail-logsv1 ($),01/05/2024,29.59
cloudtrail-logsv1 ($),01/06/2024,31.32
